external_urls,followers,genres,id,name,popularity,uri
https://open.spotify.com/artist/72f733zGuCPEzCSLs9wOVi,1051928,"bossa nova, mpb",72f733zGuCPEzCSLs9wOVi,Adriana Calcanhotto,57,spotify:artist:72f733zGuCPEzCSLs9wOVi
https://open.spotify.com/artist/1gIa65d5ICT2xVWiUJ3u27,285506,"bossa nova, brazilian indie, mpb, nova mpb, rock baiano, samba, tropicalia, velha guarda",1gIa65d5ICT2xVWiUJ3u27,Tom Zé,43,spotify:artist:1gIa65d5ICT2xVWiUJ3u27
https://open.spotify.com/artist/63SJd34UsMR4dfCWZ8AwZ2,2395,,63SJd34UsMR4dfCWZ8AwZ2,Álvaro Mamute,12,spotify:artist:63SJd34UsMR4dfCWZ8AwZ2
https://open.spotify.com/artist/12YpLBd0FvDYA0c4nsaxFp,947135,"brazilian hip hop, pop rap brasileiro",12YpLBd0FvDYA0c4nsaxFp,Konai,54,spotify:artist:12YpLBd0FvDYA0c4nsaxFp
https://open.spotify.com/artist/5Np4dglQ9jrWzu20fSlSu9,151419,"bandinhas, musica gaucha tradicionalista",5Np4dglQ9jrWzu20fSlSu9,Os Serranos,53,spotify:artist:5Np4dglQ9jrWzu20fSlSu9
https://open.spotify.com/artist/0slVGXBggrLglTLNKbeEyW,514169,"folk brasileiro, nova mpb, nova musica carioca",0slVGXBggrLglTLNKbeEyW,Rubel,59,spotify:artist:0slVGXBggrLglTLNKbeEyW
https://open.spotify.com/artist/77JxPSGO8x7rYEWNZMSSIY,96167,drill brasileiro,77JxPSGO8x7rYEWNZMSSIY,tchelo rodrigues,55,spotify:artist:77JxPSGO8x7rYEWNZMSSIY
https://open.spotify.com/artist/4oPnjkJcLqOim9KJxvIYMz,312019,brazilian hip hop,4oPnjkJcLqOim9KJxvIYMz,Duzz,54,spotify:artist:4oPnjkJcLqOim9KJxvIYMz
https://open.spotify.com/artist/6SZQlj3zcSmJk5uBaMiwGM,126346,,6SZQlj3zcSmJk5uBaMiwGM,Jotapê,52,spotify:artist:6SZQlj3zcSmJk5uBaMiwGM
https://open.spotify.com/artist/7EyzyrMNgqiK8bMrbkOT9l,1417807,rap mineiro,7EyzyrMNgqiK8bMrbkOT9l,Sidoka,59,spotify:artist:7EyzyrMNgqiK8bMrbkOT9l
https://open.spotify.com/artist/6gzXCdfYfFe5XKhPKkYqxV,2313438,"k-pop, k-pop boy group",6gzXCdfYfFe5XKhPKkYqxV,SUPER JUNIOR,58,spotify:artist:6gzXCdfYfFe5XKhPKkYqxV
https://open.spotify.com/artist/7AAXcP4NpvvLM9Xcfy64ij,609413,"sertanejo, sertanejo universitario",7AAXcP4NpvvLM9Xcfy64ij,Hugo Pena & Gabriel,40,spotify:artist:7AAXcP4NpvvLM9Xcfy64ij
https://open.spotify.com/artist/5KvkOKroKLz202ioXfGWR2,186296,"folk metal, german metal, german pagan metal, melodic death metal, power metal, symphonic metal, viking metal",5KvkOKroKLz202ioXfGWR2,Equilibrium,49,spotify:artist:5KvkOKroKLz202ioXfGWR2
https://open.spotify.com/artist/3OpWOvjJnk86geCHrAxkHA,194506,"acoustic guitar cover, fingerstyle, viral pop",3OpWOvjJnk86geCHrAxkHA,Sungha Jung,43,spotify:artist:3OpWOvjJnk86geCHrAxkHA
