external_urls,followers,genres,id,name,popularity,uri,collaborations_ids,collaborations
https://open.spotify.com/artist/4dpARuHxo51G3z768sgnrY,57657211,"british soul, pop, pop soul, uk pop",4dpARuHxo51G3z768sgnrY,Adele,86,spotify:artist:4dpARuHxo51G3z768sgnrY,,
https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR,98814719,pop,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,91,spotify:artist:66CXWjxzNUsdJxJ2JdwvnR,"2wIVse2owClT7go1WT98tk, 0hCNtLu0JehylgoiP8L4Gh, 2gsggkzM5R49q6jpPvazou, 73sIBHcqh3Z3NyqHKZ7FOL, 1Xyo4u8uXC1ZmMpatF05PJ, 2qxJFvFYMEDqd7ui6kSAcq, 5yG7ZAZafVaAlMTeBybKAL, 5dHt1vcEm9qb8fCyLcB3HL, 4LLpKhyESsyAXpc4laK94U, 181bsRPaVXVlUKXrxwZfHK, 4iHNK0tOyZPYnBU7nGAgpQ, 2RdwBSPQiwcmiDo9kixcl8, 1RyvyyTE3xzB2ZywiAwp0i, 55Aa2cqylxrFIXC767Z865, 5MmVJVhhYKQ86izuGHzJYA, 7c0XG5cIJTrrAgEC3ULPiq, 1vyhD5VmyZ7KMfW5gqLgo5, 5cj0lLjcoR7YOSnhnX0Po5, 0c173mlxpT3dSFRgMO8XPh, 3WGpXCj9YhhfX11TToZcXP","'Missy Elliott', 'Nicki Minaj', 'Jessie J', 'Childish Gambino', 'The Weeknd', 'Zedd', 'Cashmere Cat', 'Nonna', 'Iggy Azalea', 'A$AP Ferg', 'Mac Miller', 'Megan Thee Stallion', 'Mariah Carey', 'Pharrell Williams', 'Macy Gray', 'Future', 'Lil Wayne', 'MIKA', 'Ty Dolla $ign', 'Nathan Sykes', 'J Balvin', 'Doja Cat', 'Big Sean', 'Troye Sivan'"
https://open.spotify.com/artist/13ubrt8QOOCPljQ2FL1Kca,14722549,"east coast hip hop, hip hop, rap",13ubrt8QOOCPljQ2FL1Kca,A$AP Rocky,84,spotify:artist:13ubrt8QOOCPljQ2FL1Kca,"0k7Xl1pqI3tu8sSEjo5oEg, 2P5sC9cVZDToPxyomzF1UH, 4OBJLual30L7gRl5UkeRcT, 3hv9jJF3adDNsBSIQDqcjp, 2y8Jo9CKhJvtfeKOsYzRdT, 0fA0VVWsXO9YnASrzqfmYu, 46SHBwWsqBkxI7EeeBEQG7, 360IAlyVv4PCEVjgyMZrxK, 6vXTefBL93Dj5IqAWq6OTv, 5K4W6rqBFWDnAN6FQUkS6x, 5he5w2lnU9x7JFhnwcekXX, 3OsRAKCvk37zwYcnzRf5XF, 5dHt1vcEm9qb8fCyLcB3HL, 3TVXtAsR1Inumwj472S9r4, 5v2WhpA59TJSdPh7LCx1lN, 0QJIPDAEDILuo8AIq3pMuU, 55Aa2cqylxrFIXC767Z865, 1RyvyyTE3xzB2ZywiAwp0i, 5gCRApTajqwbnHHPbr2Fpi, 2h93pZq0e7k5yf4dywlkpM, 68DWke2VjdDmA75aJX5C57, 2YZyLoL8N0Wb9xBt1NhZWg, 17lzZA2AlOHwCwFALHttmp, 2p1fiYHYiXz9qi0JJyxBzN, 5IcR3N7QB1j6KBL8eImZ8m","'Paul Wall', 'Main Attrakionz', 'Joey Bada$$', 'T.I.', 'Big K.R.I.T.', 'Killa Kyleon', 'Mark Ronson', 'Rod Stewart', 'Kid Cudi', 'A$AP NAST', 'Kodak Black', 'Miguel', 'French Montana', 'Kanye West', 'Gunplay', 'Lord Flacko', 'Bun B', 'Florence Welch', 'SpaceGhostPurrp', 'Skrillex', 'Moby', 'A$AP Ferg', 'James Fauntleroy', 'Mos Def', 'FKA twigs', 'Yams', 'Drake', 'Santigold', 'Chace Infinite', 'Danny Brown', 'BONES', 'Fat Tony', 'M.I.A.', 'Lil Wayne', 'Future', 'A$AP Twelvyy', 'UGK', 'Juicy J', 'Frank Ocean', 'Yelawolf', 'Kendrick Lamar', '2 Chainz', 'OverDoz.', 'Birdy Nam Nam', 'Action Bronson', 'Acyde', 'Joe Fox', 'Skepta', 'ScHoolboy Q'"
https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02,118971229,pop,06HL4z0CvFAxyc27GXpf02,Taylor Swift,100,spotify:artist:06HL4z0CvFAxyc27GXpf02,"0u2FHSq3ln94y5Q57xazwf, 4YLtscXsxbVgi031ovDDdh, 00FQb4jTyendYWaN8pK0wa, 6eUKZXaKkcviH0Ku9w2n3V, 6aZyMrc4doVtZyKNilOmwu, 246dkjvS1zLTtiykXe5h60, 2cCUtGK9sDU2EoElnk0GNB, 4UXqAaa6dQYAk18Lv7PEgX, 1r1uxoy19fzMxunt3ONAkG, 6WY7D3jk8zTrHtmkqqo5GI, 5ZsFI1h6hIdQRw2ti0hz81, 4LEiUm1SRbFMgfqnQTwUbQ, 1RyvyyTE3xzB2ZywiAwp0i, 3LZZPxNDGDFVSIPqf4JuEf, 20JZFwl6HVl6yg8a4H3ZqK, 1moxjboGR7GNWYIMWsRjgG, 2YZyLoL8N0Wb9xBt1NhZWg, 25IG9fa7cbdmCIy3OnuH57","'Hayley Williams', 'Keith Urban', 'Chris Stapleton', 'HAIM', 'Lana Del Rey', 'Ed Sheeran', 'Colbie Caillat', 'Post Malone', 'The National', 'Fall Out Boy', 'Brendon Urie', 'Phoebe Bridgers', 'Maren Morris', 'ZAYN', 'Bon Iver', 'Sugarland', 'Future', 'Ice Spice', 'Panic! At The Disco', 'Florence + The Machine', 'Kendrick Lamar', 'Gary Lightbody', 'The Chicks'"
https://open.spotify.com/artist/7Ln80lUS6He07XvHI8qqHH,25991892,"garage rock, modern rock, permanent wave, rock, sheffield indie",7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys,85,spotify:artist:7Ln80lUS6He07XvHI8qqHH,,
https://open.spotify.com/artist/64tNsm6TnZe2zpcMVMOoHL,5210066,"alternative metal, alternative rock, grunge, hard rock, nu metal, rock",64tNsm6TnZe2zpcMVMOoHL,Alice In Chains,73,spotify:artist:64tNsm6TnZe2zpcMVMOoHL,,
https://open.spotify.com/artist/2R21vXR83lH98kGeO99Y66,37146599,"reggaeton, reggaeton flow, trap boricua, trap latino, urbano latino",2R21vXR83lH98kGeO99Y66,Anuel AA,88,spotify:artist:2R21vXR83lH98kGeO99Y66,"790FomKkXshlbRYZFtlgla, 6nVcHLIgY5pE2YCl8ubca1, 3E6xrwgnVfYCrCs0ePERDz, 4exLIFE8sISLr28sqG1qNX, 0Q8NcsJwoCbZOHHW63su5S, 46SHBwWsqBkxI7EeeBEQG7, 329e4yvIujISKGKz1BZZbO, 4IMAo2UQchVFyPH24PAjUs, 4VMYDCV2IEDYJArk749S6m, 7iK8PXO48WeuP03g8YR51W, 4q3ewBCX7sLwd24euuV69X, 7qYeIN2r4H1kBvr0Gm9Iav, 1Cs0zKBU1kc0i8ypK3B9ai, 0eHQ9o50hj6ZDNBt6Ys1sD, 1i8SpTcr7yvPOmcqrbnVXY, 5XJDexmWFLWOkjOEjOVX3e, 7qG3b048QCHVRO5Pv1T5lw, 3hcs9uc56yIGFCSy9leWe7, 6w9ToX5slZ4uIdmD17hJ3c, 1pgDilWYDWLoOgGjf1iHNu, 4r63FhuTkUYltbVAg5TQnk, 3SUT1jjM5hzZj9TLfLZGIP, 55Aa2cqylxrFIXC767Z865, 12vb80Km0Ew53ABfJOepVz, 3EiLUeyEcA6fbRPSHkG5kb, 1vyhD5VmyZ7KMfW5gqLgo5, 4aSlfXDn9R60UlbZEboBUy, 1SupJlEpv7RS2tPNRaHViT","'Kendo Kaponi', 'KAROL G', 'JHAYCO', 'Wisin', 'Travis Barker', 'Mora', 'Kodak Black', 'Farruko', 'Jowell & Randy', 'Daddy Yankee', 'Myke Towers', 'Bad Bunny', 'Randy', 'David Guetta', 'Yandel', 'Ozuna', 'Eladio Carrion', 'Enrique Iglesias', 'Lil Durk', 'Bryant Myers', 'Zion', 'DaBaby', 'Tego Calderón', 'Lil Wayne', 'Mariah Angeliq', 'Ñengo Flow', 'Foreign Teck', 'De La Ghetto', 'J Balvin', 'Yailin la Mas Viral', 'YOVNGCHIMI', 'Treintisiete', 'RobGz', 'Nicky Jam'"
https://open.spotify.com/artist/0LcJLqbBmaGUft1e9Mm8HV,12674737,"europop, swedish pop",0LcJLqbBmaGUft1e9Mm8HV,ABBA,81,spotify:artist:0LcJLqbBmaGUft1e9Mm8HV,,"'Björn Ulvaeus', 'Benny Andersson'"
https://open.spotify.com/artist/6s22t5Y3prQHyaHWUN1R1C,3423838,pov: indie,6s22t5Y3prQHyaHWUN1R1C,AJR,73,spotify:artist:6s22t5Y3prQHyaHWUN1R1C,,"'Blue Man Group', 'Rivers Cuomo'"
https://open.spotify.com/artist/711MCceyCBcFnzjGY4Q7Un,29105921,"australian rock, hard rock, rock",711MCceyCBcFnzjGY4Q7Un,AC/DC,83,spotify:artist:711MCceyCBcFnzjGY4Q7Un,,
https://open.spotify.com/artist/6lcwlkAjBPSKnFBZjjZFJs,2318817,"philly indie, pov: indie, slacker rock",6lcwlkAjBPSKnFBZjjZFJs,Alex G,76,spotify:artist:6lcwlkAjBPSKnFBZjjZFJs,,
https://open.spotify.com/artist/31W5EY0aAly4Qieq6OFu6I,8376295,"melodic rap, rap, trap",31W5EY0aAly4Qieq6OFu6I,A Boogie Wit da Hoodie,78,spotify:artist:31W5EY0aAly4Qieq6OFu6I,"3hcs9uc56yIGFCSy9leWe7, 2R0CFyeMDiRbfkhkIMbyl1, 7sP4SQ0WY6jfps1I19Ot7i, 50co4Is1HCEo8bhOyUWKpn, 0Y3agQaa6g2r0YmHPOO9rh, 46SHBwWsqBkxI7EeeBEQG7, 31W5EY0aAly4Qieq6OFu6I, 7rkW85dBwwrJtlHRDkJDAC, 6LuN9FCkKOj5PcnpouEgny, 4DdkRBBYG6Yk9Ka8tdJ9BW, 2hlmm7s2ICUX0LVIhVFlZQ, 5KKpBU5eC2tJDzf0wmlRp2, 2jku7tDXc6XoB6MO2hFuqg, 21WS9wngs9AqFckK7yYJPM, 3KedxarmBCyFBevnqQHy3P, 7HO5fOXE4gh3lzZn64tX2E, 57LYzLEk2LcFghVwuWbcuS, 1RyvyyTE3xzB2ZywiAwp0i, 4MCBfE4596Uoi2O4DtmEMz, 4O15NlyKLIASxsJ0PrXPfz, 7bXgB6jMjp9ATFy66eO08Z, 6XFITTl7cFTdopDY3lUdlY, 5QdEbQJ3ylBnc3gsIASAT5, 4r63FhuTkUYltbVAg5TQnk, 2iojnBLj0qIMiKPvVhLnsH, 3Y7RZ31TRPVadSFVy1o8os, 7gZfnEnfiaHzxARJ2LeXrf, 1URnnhqYAYcrqrcwql10ft, 7wlFDEWiM5OoIAt8RSli8b, 5LHRHt1k9lMyONurDHEdrp, 757aE44tKEUQEqRuT6GnEB","'Mariah the Scientist', 'Summer Walker', '6ix9ine', 'YoungBoy Never Broke Again', 'Robin Thicke', 'Queen Naija', 'Kodak Black', 'RAYE', 'Young Thug', 'Tory Lanez', 'H.E.R.', 'Tyga', 'Offset', 'Trey Songz', 'Juice WRLD', 'Lil Quee', 'Don Q', 'Fridayy', 'Khalid', 'Trap Manny', 'Lil Durk', 'Kap G', 'London On Da Track', 'DaBaby', 'Jessie Reyez', '21 Savage', 'NAV', 'Future', 'Quando Rondo', 'Melody', 'Davido', 'J Alvarez', 'Kojo Funds', 'Cash Cobain', 'Chris Brown', 'PnB Rock', 'G Herbo', 'Alkaline', 'Gunna', 'Lil Uzi Vert', 'Roddy Ricch'"
https://open.spotify.com/artist/26VFTg2z8YR0cCuwLzESi2,21673076,"electropop, etherpop, indie poptimism, pop",26VFTg2z8YR0cCuwLzESi2,Halsey,81,spotify:artist:26VFTg2z8YR0cCuwLzESi2,"4MCBfE4596Uoi2O4DtmEMz, 0VRj0yCOv2FXJNP47XQnx5, 3Nrfpe0tUJi4K4DXYWgMUX, 45eNHdiiabvmbp4erw26rg, 6ogn9necmbUdCppmNnGOdi, 0c173mlxpT3dSFRgMO8XPh, 2ExGrw6XpbtUAJHTLtUXUD, 64KEffDW9EtZ1y2vBYgq8T, 6USv9qhCn6zfxlBQIYJ9qs","'Juice WRLD', 'Quavo', 'SUGA', 'BTS', 'ILLENIUM', 'Alanis Morissette', 'Cashmere Cat', 'Big Sean', 'Lauren Jauregui', 'Stefflon Don', 'Marshmello', 'Dominic Fike'"
https://open.spotify.com/artist/5lwmRuXgjX8xIwlnauTZIP,21948850,"bachata, latin hip hop, latin pop, urbano latino",5lwmRuXgjX8xIwlnauTZIP,Romeo Santos,83,spotify:artist:5lwmRuXgjX8xIwlnauTZIP,"3nlpTZci9O5W8RsNoNH559, 0hCNtLu0JehylgoiP8L4Gh, 0TnOYISbd1XYRBk9myaseg, 4etuCZVdP8yiNPn4xf0ie5, 4VMYDCV2IEDYJArk749S6m, 1SupJlEpv7RS2tPNRaHViT, 1wZtkThiXbVNtj6hee6dz9, 1qto4hHid1P71emI6Fd8xi, 1i8SpTcr7yvPOmcqrbnVXY, 3TVXtAsR1Inumwj472S9r4, 31TPClRtHm23RisEBtV3X7, 3SUT1jjM5hzZj9TLfLZGIP, 3KedxarmBCyFBevnqQHy3P, 7ltDVBr6mKbRvohxheJ9h1, 55Aa2cqylxrFIXC767Z865, 0XwVARXT135rw8lyw1EeWP, 4wLXwxDeWQ8mtUIRPxGiD6, 23zg3TcAtWQy7J6upgbUnj","'Monchy', 'Juan Luis Guerra 4.40', 'Nicki Minaj', 'El Chaval de la Bachata', 'Kevin Hart', 'Pitbull', 'Luis Vargas', 'Luis Miguel Del Amargue', 'Frank Reyes', 'Mario Domm', 'George Lopez', 'Julio Iglesias', 'Chris Lebron', 'Tomatito', 'Kiko Rodriguez', 'Solano Santos', 'Daddy Yankee', 'Alexandra', 'Nicky Jam', 'Fernando Villalona', 'Monchy & Alexandra', 'Wisin & Yandel', 'Toño Rosario', 'Katt Williams', 'Aventura', 'Ramón Orlando', 'Ozuna', 'Raulin Rodriguez', 'Drake', 'Justin Timberlake', 'Tego Calderón', 'Jessie Reyez', 'ROSALÍA', 'Dj Adoni', 'Lil Wayne', 'Rubby Pérez', 'Anthony Santos', 'Carlos Santana', 'Elvis Martinez', 'Teodoro Reyes', 'Joe Veras', 'Lapiz Conciente', 'Zacarias Ferreira', 'Christian Nodal', 'Alex Santos', 'Valentino Santos', 'Mala Rodríguez', 'Marc Anthony', 'Swizz Beatz', 'USHER'"
https://open.spotify.com/artist/1qto4hHid1P71emI6Fd8xi,8452936,"bachata, bachata dominicana, latin hip hop, latin pop, tropical, urbano latino",1qto4hHid1P71emI6Fd8xi,Aventura,80,spotify:artist:1qto4hHid1P71emI6Fd8xi,"7aBzpmFXB4WWpPl2F7RjBe, 33ScadVnbm2X8kkUqOkC6Z, 3ipn9JLAPI5GUEo4y4jcoi, 1wZtkThiXbVNtj6hee6dz9, 0z4gvV4rjIZ9wHck67ucSV","'Héctor Acosta ""El Torito""', 'Wyclef Jean', 'Anthony Santos', 'Nina Sky', 'Miri Ben-Ari', 'Henry Santos Jeter', 'Judy Santos', 'Don Omar', 'Arturo Sandoval', 'Ludacris', 'Wisin & Yandel', 'Gerry Grimaud, Jr.', 'Akon'"
