external_urls,followers,genres,id,name,popularity,uri
https://open.spotify.com/artist/4dpARuHxo51G3z768sgnrY,57657211,"british soul, pop, pop soul, uk pop",4dpARuHxo51G3z768sgnrY,Adele,86,spotify:artist:4dpARuHxo51G3z768sgnrY
https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR,98814719,pop,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,91,spotify:artist:66CXWjxzNUsdJxJ2JdwvnR
https://open.spotify.com/artist/13ubrt8QOOCPljQ2FL1Kca,14722549,"east coast hip hop, hip hop, rap",13ubrt8QOOCPljQ2FL1Kca,A$AP Rocky,84,spotify:artist:13ubrt8QOOCPljQ2FL1Kca
https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02,118971229,pop,06HL4z0CvFAxyc27GXpf02,Taylor Swift,100,spotify:artist:06HL4z0CvFAxyc27GXpf02
https://open.spotify.com/artist/7Ln80lUS6He07XvHI8qqHH,25991892,"garage rock, modern rock, permanent wave, rock, sheffield indie",7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys,85,spotify:artist:7Ln80lUS6He07XvHI8qqHH
https://open.spotify.com/artist/64tNsm6TnZe2zpcMVMOoHL,5210066,"alternative metal, alternative rock, grunge, hard rock, nu metal, rock",64tNsm6TnZe2zpcMVMOoHL,Alice In Chains,73,spotify:artist:64tNsm6TnZe2zpcMVMOoHL
https://open.spotify.com/artist/2R21vXR83lH98kGeO99Y66,37146599,"reggaeton, reggaeton flow, trap boricua, trap latino, urbano latino",2R21vXR83lH98kGeO99Y66,Anuel AA,88,spotify:artist:2R21vXR83lH98kGeO99Y66
https://open.spotify.com/artist/0LcJLqbBmaGUft1e9Mm8HV,12674737,"europop, swedish pop",0LcJLqbBmaGUft1e9Mm8HV,ABBA,81,spotify:artist:0LcJLqbBmaGUft1e9Mm8HV
https://open.spotify.com/artist/6s22t5Y3prQHyaHWUN1R1C,3423838,pov: indie,6s22t5Y3prQHyaHWUN1R1C,AJR,73,spotify:artist:6s22t5Y3prQHyaHWUN1R1C
https://open.spotify.com/artist/711MCceyCBcFnzjGY4Q7Un,29105921,"australian rock, hard rock, rock",711MCceyCBcFnzjGY4Q7Un,AC/DC,83,spotify:artist:711MCceyCBcFnzjGY4Q7Un
https://open.spotify.com/artist/6lcwlkAjBPSKnFBZjjZFJs,2318817,"philly indie, pov: indie, slacker rock",6lcwlkAjBPSKnFBZjjZFJs,Alex G,76,spotify:artist:6lcwlkAjBPSKnFBZjjZFJs
https://open.spotify.com/artist/31W5EY0aAly4Qieq6OFu6I,8376295,"melodic rap, rap, trap",31W5EY0aAly4Qieq6OFu6I,A Boogie Wit da Hoodie,78,spotify:artist:31W5EY0aAly4Qieq6OFu6I
https://open.spotify.com/artist/26VFTg2z8YR0cCuwLzESi2,21673076,"electropop, etherpop, indie poptimism, pop",26VFTg2z8YR0cCuwLzESi2,Halsey,81,spotify:artist:26VFTg2z8YR0cCuwLzESi2
https://open.spotify.com/artist/4gvjmrtzydbMpyJaXUtwvP,315931,social media pop,4gvjmrtzydbMpyJaXUtwvP,Addison Rae,63,spotify:artist:4gvjmrtzydbMpyJaXUtwvP
https://open.spotify.com/artist/5lwmRuXgjX8xIwlnauTZIP,21948850,"bachata, latin hip hop, latin pop, urbano latino",5lwmRuXgjX8xIwlnauTZIP,Romeo Santos,83,spotify:artist:5lwmRuXgjX8xIwlnauTZIP
https://open.spotify.com/artist/1qto4hHid1P71emI6Fd8xi,8452936,"bachata, bachata dominicana, latin hip hop, latin pop, tropical, urbano latino",1qto4hHid1P71emI6Fd8xi,Aventura,80,spotify:artist:1qto4hHid1P71emI6Fd8xi
https://open.spotify.com/artist/2hlmm7s2ICUX0LVIhVFlZQ,7798940,"atl hip hop, melodic rap, rap, trap",2hlmm7s2ICUX0LVIhVFlZQ,Gunna,86,spotify:artist:2hlmm7s2ICUX0LVIhVFlZQ
https://open.spotify.com/artist/0z4gvV4rjIZ9wHck67ucSV,4805468,dance pop,0z4gvV4rjIZ9wHck67ucSV,Akon,82,spotify:artist:0z4gvV4rjIZ9wHck67ucSV
https://open.spotify.com/artist/0nmQIMXWTXfhgOBdNzhGOs,8095980,alternative metal,0nmQIMXWTXfhgOBdNzhGOs,Avenged Sevenfold,77,spotify:artist:0nmQIMXWTXfhgOBdNzhGOs
https://open.spotify.com/artist/4YRxDV8wJFPHPTeXepOstw,119034998,"filmi, modern bollywood",4YRxDV8wJFPHPTeXepOstw,Arijit Singh,90,spotify:artist:4YRxDV8wJFPHPTeXepOstw
https://open.spotify.com/artist/68KmkJeZGfwe1OUaivBa2L,4169219,"k-pop, k-pop boy group",68KmkJeZGfwe1OUaivBa2L,ATEEZ,74,spotify:artist:68KmkJeZGfwe1OUaivBa2L
https://open.spotify.com/artist/3jK9MiCrA42lLAdMGUZpwa,2558516,"escape room, hip hop, indie soul, neo soul",3jK9MiCrA42lLAdMGUZpwa,Anderson .Paak,78,spotify:artist:3jK9MiCrA42lLAdMGUZpwa
https://open.spotify.com/artist/0p4nmQO2msCgU4IF37Wi3j,11201352,"canadian pop, candy pop, dance pop, pop",0p4nmQO2msCgU4IF37Wi3j,Avril Lavigne,77,spotify:artist:0p4nmQO2msCgU4IF37Wi3j
https://open.spotify.com/artist/6Q192DXotxtaysaqNPy5yR,9007946,"british soul, neo soul",6Q192DXotxtaysaqNPy5yR,Amy Winehouse,78,spotify:artist:6Q192DXotxtaysaqNPy5yR
https://open.spotify.com/artist/4aKWmkWAKviFlyvHYPTNQY,560942,"countrygaze, indie pop, small room",4aKWmkWAKviFlyvHYPTNQY,Adrianne Lenker,71,spotify:artist:4aKWmkWAKviFlyvHYPTNQY
https://open.spotify.com/artist/4NiJW4q9ichVqL1aUsgGAN,2353441,"alternative metal, metalcore, neon pop punk, pop punk, screamo",4NiJW4q9ichVqL1aUsgGAN,A Day To Remember,69,spotify:artist:4NiJW4q9ichVqL1aUsgGAN
https://open.spotify.com/artist/4SsVbpTthjScTS7U2hmr1X,14983963,"latin hip hop, reggaeton, trap latino, urbano latino",4SsVbpTthjScTS7U2hmr1X,Arcángel,83,spotify:artist:4SsVbpTthjScTS7U2hmr1X
https://open.spotify.com/artist/6YVMFz59CuY7ngCxTxjpxE,6139901,k-pop girl group,6YVMFz59CuY7ngCxTxjpxE,aespa,80,spotify:artist:6YVMFz59CuY7ngCxTxjpxE
https://open.spotify.com/artist/3DiDSECUqqY1AuBP8qtaIa,11990092,"neo soul, pop, r&b",3DiDSECUqqY1AuBP8qtaIa,Alicia Keys,78,spotify:artist:3DiDSECUqqY1AuBP8qtaIa
https://open.spotify.com/artist/50co4Is1HCEo8bhOyUWKpn,10266249,"atl hip hop, atl trap, gangster rap, melodic rap, rap, trap",50co4Is1HCEo8bhOyUWKpn,Young Thug,83,spotify:artist:50co4Is1HCEo8bhOyUWKpn
https://open.spotify.com/artist/1vCWHaC5f2uS3yhpwWbIA6,22969432,"dance pop, edm, pop, pop dance",1vCWHaC5f2uS3yhpwWbIA6,Avicii,81,spotify:artist:1vCWHaC5f2uS3yhpwWbIA6
https://open.spotify.com/artist/3a1tBryiczPAZpgoZN9Rzg,3906402,"afrobeats, nigerian pop",3a1tBryiczPAZpgoZN9Rzg,Asake,79,spotify:artist:3a1tBryiczPAZpgoZN9Rzg
https://open.spotify.com/artist/6ogn9necmbUdCppmNnGOdi,2885138,"canadian pop, canadian singer-songwriter, lilith, neo mellow, pop rock, singer-songwriter",6ogn9necmbUdCppmNnGOdi,Alanis Morissette,68,spotify:artist:6ogn9necmbUdCppmNnGOdi
https://open.spotify.com/artist/2oQX8QiMXOyuqbcZEFsZfm,3564640,"dembow, rap dominicano, trap latino, urbano latino",2oQX8QiMXOyuqbcZEFsZfm,El Alfa,78,spotify:artist:2oQX8QiMXOyuqbcZEFsZfm
https://open.spotify.com/artist/4mxWe1mtYIYfP040G38yvS,2805521,country,4mxWe1mtYIYfP040G38yvS,Alan Jackson,73,spotify:artist:4mxWe1mtYIYfP040G38yvS
https://open.spotify.com/artist/1WgXqy2Dd70QQOU7Ay074N,3759136,"art pop, norwegian pop",1WgXqy2Dd70QQOU7Ay074N,AURORA,74,spotify:artist:1WgXqy2Dd70QQOU7Ay074N
https://open.spotify.com/artist/6eUKZXaKkcviH0Ku9w2n3V,115389739,"pop, singer-songwriter pop, uk pop",6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,87,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V
https://open.spotify.com/artist/6kBDZFXuLrZgHnvmPu9NsG,1445224,"ambient, braindance, electronica, intelligent dance music, uk experimental electronic",6kBDZFXuLrZgHnvmPu9NsG,Aphex Twin,65,spotify:artist:6kBDZFXuLrZgHnvmPu9NsG
https://open.spotify.com/artist/07YZf4WDAMNwqr4jfgOZ8y,12154500,"dance pop, pop",07YZf4WDAMNwqr4jfgOZ8y,Jason Derulo,78,spotify:artist:07YZf4WDAMNwqr4jfgOZ8y
https://open.spotify.com/artist/7BMccF0hQFBpP6417k1OtQ,829579,"alternative hip hop, east coast hip hop, hip hop, nyc rap, queens hip hop",7BMccF0hQFBpP6417k1OtQ,Action Bronson,64,spotify:artist:7BMccF0hQFBpP6417k1OtQ
https://open.spotify.com/artist/7vk5e3vY1uw9plTHJAMwjN,39181133,electro house,7vk5e3vY1uw9plTHJAMwjN,Alan Walker,81,spotify:artist:7vk5e3vY1uw9plTHJAMwjN
https://open.spotify.com/artist/46gyXjRIvN1NL1eCB8GBxo,3041525,"modern rock, neon pop punk, pop emo, pop punk",46gyXjRIvN1NL1eCB8GBxo,All Time Low,69,spotify:artist:46gyXjRIvN1NL1eCB8GBxo
https://open.spotify.com/artist/4npEfmQ6YuiwW1GpUmaq3F,7037387,pop,4npEfmQ6YuiwW1GpUmaq3F,Ava Max,79,spotify:artist:4npEfmQ6YuiwW1GpUmaq3F
https://open.spotify.com/artist/1G9G7WwrXka3Z1r7aIDjI7,2764060,"atl hip hop, dirty south rap, hip hop, old school atlanta hip hop, rap, southern hip hop",1G9G7WwrXka3Z1r7aIDjI7,Outkast,76,spotify:artist:1G9G7WwrXka3Z1r7aIDjI7
https://open.spotify.com/artist/5xYNmNkaWRqu3e5F4UXME8,8742259,"banda, corrido, musica mexicana, norteno, sad sierreno, sierreno",5xYNmNkaWRqu3e5F4UXME8,Alfredo Olivas,79,spotify:artist:5xYNmNkaWRqu3e5F4UXME8
https://open.spotify.com/artist/2CKOmarVWvWqkNWUatHCex,6765478,"agronejo, sertanejo, sertanejo pop, sertanejo universitario",2CKOmarVWvWqkNWUatHCex,Ana Castela,81,spotify:artist:2CKOmarVWvWqkNWUatHCex
https://open.spotify.com/artist/1sPg5EHuQXTMElpZ4iUgXe,6712307,"folk brasileiro, musica tocantinense, nova mpb, pop lgbtq+ brasileira, pop nacional",1sPg5EHuQXTMElpZ4iUgXe,ANAVITÓRIA,70,spotify:artist:1sPg5EHuQXTMElpZ4iUgXe
https://open.spotify.com/artist/1l7ZsJRRS8wlW3WfJfPfNS,8406820,"dance pop, pop",1l7ZsJRRS8wlW3WfJfPfNS,Christina Aguilera,77,spotify:artist:1l7ZsJRRS8wlW3WfJfPfNS
https://open.spotify.com/artist/3HBxYEtI2i43MzWyTXupVv,16991,british alternative rock,3HBxYEtI2i43MzWyTXupVv,A,29,spotify:artist:3HBxYEtI2i43MzWyTXupVv
https://open.spotify.com/artist/7Ey4PD4MYsKc5I2dolUwbH,14494489,"album rock, classic rock, hard rock, rock",7Ey4PD4MYsKc5I2dolUwbH,Aerosmith,76,spotify:artist:7Ey4PD4MYsKc5I2dolUwbH
https://open.spotify.com/artist/23zg3TcAtWQy7J6upgbUnj,11912177,"atl hip hop, contemporary r&b, dance pop, pop, r&b, rap, south carolina hip hop, urban contemporary",23zg3TcAtWQy7J6upgbUnj,USHER,82,spotify:artist:23zg3TcAtWQy7J6upgbUnj
https://open.spotify.com/artist/5aIqB5nVVvmFsvSdExz408,4403334,"baroque, classical, early music, german baroque",5aIqB5nVVvmFsvSdExz408,Johann Sebastian Bach,76,spotify:artist:5aIqB5nVVvmFsvSdExz408
https://open.spotify.com/artist/0eVyjRhzZKke2KFYTcDkeu,706915,"alternative hip hop, drumless hip hop, hip hop, instrumental hip hop, west coast rap",0eVyjRhzZKke2KFYTcDkeu,The Alchemist,71,spotify:artist:0eVyjRhzZKke2KFYTcDkeu
https://open.spotify.com/artist/5IH6FPUwQTxPSXurCrcIov,5182703,"alt z, pop, pov: indie",5IH6FPUwQTxPSXurCrcIov,Alec Benjamin,74,spotify:artist:5IH6FPUwQTxPSXurCrcIov
https://open.spotify.com/artist/5QNm7E7RU2m64l6Gliu8Oy,1073220,"contemporary country, modern country pop",5QNm7E7RU2m64l6Gliu8Oy,HARDY,76,spotify:artist:5QNm7E7RU2m64l6Gliu8Oy
https://open.spotify.com/artist/7FNnA9vBm6EKceENgCGRMb,12550213,"funk pop, funk rj, pagode baiano, pop, pop nacional",7FNnA9vBm6EKceENgCGRMb,Anitta,80,spotify:artist:7FNnA9vBm6EKceENgCGRMb
https://open.spotify.com/artist/5bSfBBCxY8QAk4Pifveisz,6987330,"banda, musica mexicana, norteno",5bSfBBCxY8QAk4Pifveisz,La Arrolladora Banda El Limón De Rene Camacho,79,spotify:artist:5bSfBBCxY8QAk4Pifveisz
https://open.spotify.com/artist/5dHt1vcEm9qb8fCyLcB3HL,3810450,"hip hop, pop rap, rap, southern hip hop, trap",5dHt1vcEm9qb8fCyLcB3HL,A$AP Ferg,71,spotify:artist:5dHt1vcEm9qb8fCyLcB3HL
https://open.spotify.com/artist/3ZpEKRjHaHANcpk10u6Ntq,3412719,afrobeats,3ZpEKRjHaHANcpk10u6Ntq,Ayra Starr,79,spotify:artist:3ZpEKRjHaHANcpk10u6Ntq
https://open.spotify.com/artist/0NGAZxHanS9e0iNHpR8f2W,11290487,"electro house, pop nacional, slap house",0NGAZxHanS9e0iNHpR8f2W,Alok,80,spotify:artist:0NGAZxHanS9e0iNHpR8f2W
https://open.spotify.com/artist/2rwALQ1SXdfUWPUd6WOfYS,539887,conscious hip hop,2rwALQ1SXdfUWPUd6WOfYS,Aaron May,70,spotify:artist:2rwALQ1SXdfUWPUd6WOfYS
https://open.spotify.com/artist/1zNqDE7qDGCsyzJwohVaoX,12037981,pop,1zNqDE7qDGCsyzJwohVaoX,Anne-Marie,78,spotify:artist:1zNqDE7qDGCsyzJwohVaoX
