external_urls,followers,genres,id,name,popularity,uri,related_artists
https://open.spotify.com/artist/4dpARuHxo51G3z768sgnrY,57657211,"british soul, pop, pop soul, uk pop",4dpARuHxo51G3z768sgnrY,Adele,86,spotify:artist:4dpARuHxo51G3z768sgnrY,"5WUlDfRSoLAfcVSX1WnrxN, 2wY79sveU1sp5g7SokKOiI, 1KCSPY1glIKqW2TotWuXOR, 1HY2Jd0NmPuamShAr6KMms, 3BmGtnKgCSGYIUhmivXKWX, 5YGY8feqx7naU7z4HrwZM6, 6jJ0s89eD6GaHleKKya26X, 5pKCCKE2ajJHZ9KAiaK11H, 6vWDO969PvNqNYHIOW5v0m, 2gsggkzM5R49q6jpPvazou, 3DiDSECUqqY1AuBP8qtaIa, 6M2wZ9GZgrQXHCFfjv46we, 0du5cEVh5yTK9QJze8zA0C, 0X2BH1fck6amBIoJhDVmmJ, 6eUKZXaKkcviH0Ku9w2n3V, 26dSoYclwsYLMAKD3tpOr4, 1l7ZsJRRS8wlW3WfJfPfNS, 04gDigrS5kc9YWfZHwBETP, 6S2OmqARrzebs0tKUEyXyp, 4gzpq5DPGxSnKTe4SA8HAU"
https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR,98814719,pop,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,91,spotify:artist:66CXWjxzNUsdJxJ2JdwvnR,"4nDoRrQiYLoBzwC5BhVJzF, 0C8ZW7ezQVs4URX5aX7Kqx, 5cj0lLjcoR7YOSnhnX0Po5, 6M2wZ9GZgrQXHCFfjv46we, 6S2OmqARrzebs0tKUEyXyp, 74KM79TiuVKeVCqs8QtB0B, 1McMsnEElThX1knmY4oliG, 7n2wHs1TKAczGzO7Dd2rGr, 6jJ0s89eD6GaHleKKya26X, 0hCNtLu0JehylgoiP8L4Gh, 1l8Fu6IkuTP0U5QetQJ5Xt, 3e7awlrlDSwF3iM0WBjGMp, 4kYSro6naA4h99UJvo89HB, 5YGY8feqx7naU7z4HrwZM6, 6JL8zeS1NmiOftqZTRgdTz, 26VFTg2z8YR0cCuwLzESi2, 6qqNVTkY8uBg9cP3Jd7DAH, 6KImCVD70vtIoJWnq6nGn3, 5pKCCKE2ajJHZ9KAiaK11H, 5ZsFI1h6hIdQRw2ti0hz81"
https://open.spotify.com/artist/13ubrt8QOOCPljQ2FL1Kca,14722549,"east coast hip hop, hip hop, rap",13ubrt8QOOCPljQ2FL1Kca,A$AP Rocky,84,spotify:artist:13ubrt8QOOCPljQ2FL1Kca,"5dHt1vcEm9qb8fCyLcB3HL, 2P5sC9cVZDToPxyomzF1UH, 5IcR3N7QB1j6KBL8eImZ8m, 0fA0VVWsXO9YnASrzqfmYu, 5SXuuuRpukkTvsLuUknva1, 0ONHkAv9pCAFxb0zJwDNTy, 6fxyWrfmjcbj5d12gXeiNV, 50co4Is1HCEo8bhOyUWKpn, 699OTQXzgjhIYAHMy9RyPD, 15iVAtD3s3FsQR4w1v6M0P, 6icQOAFXDZKsumw3YXyusw, 4Gso3d4CscCijv0lmajZWs, 7c0XG5cIJTrrAgEC3ULPiq, 3A5tHz1SfngyOZM2gItYKu, 4V8LLVI7PbaPR0K2TGSxFF, 4O15NlyKLIASxsJ0PrXPfz, 6oMuImdp5ZcFhWP0ESe6mG, 1URnnhqYAYcrqrcwql10ft, 6l3HvQ5sa6mXTsMTB19rO5"
https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02,118971229,pop,06HL4z0CvFAxyc27GXpf02,Taylor Swift,100,spotify:artist:06HL4z0CvFAxyc27GXpf02,"0C8ZW7ezQVs4URX5aX7Kqx, 1McMsnEElThX1knmY4oliG, 6jJ0s89eD6GaHleKKya26X, 66CXWjxzNUsdJxJ2JdwvnR, 6KImCVD70vtIoJWnq6nGn3, 4nDoRrQiYLoBzwC5BhVJzF, 4AK6F7OLvEQ5QYCBNiQWHq, 6S2OmqARrzebs0tKUEyXyp, 74KM79TiuVKeVCqs8QtB0B, 6JL8zeS1NmiOftqZTRgdTz, 5YGY8feqx7naU7z4HrwZM6, 7n2wHs1TKAczGzO7Dd2rGr, 6M2wZ9GZgrQXHCFfjv46we, 1uNFoZAHBGtllmzznpCI3s, 6qqNVTkY8uBg9cP3Jd7DAH, 00FQb4jTyendYWaN8pK0wa, 26VFTg2z8YR0cCuwLzESi2, 6VuMaDnrHyPL1p4EHjYLi7, 5ZsFI1h6hIdQRw2ti0hz81, 1HY2Jd0NmPuamShAr6KMms"
https://open.spotify.com/artist/7Ln80lUS6He07XvHI8qqHH,25991892,"garage rock, modern rock, permanent wave, rock, sheffield indie",7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys,85,spotify:artist:7Ln80lUS6He07XvHI8qqHH,"77SW9BnxLY8rJ0RciFqkHh, 0epOFNiUfyON9EYx7Tpr6V, 1QAJqy2dA3ihHBFIHRphZj, 7cYEt1pqMgXJdq00hAwVpT, 26T3LtbuGT1Fu9m0eRq5X3, 5INjqkS1o8h1imAzPqGZBb, 3yY2gUcIsjMr8hjo51PoJ8, 1GLtl8uqKmnyCWxHmw9tL4, 3uwAm6vQy7kWPS2bciKWx9, 2uYWxilOVlUdk4oV9DvwqK, 3Sz7ZnJQBIHsXLUSo0OQtM, 0Y6dVaC9DZtPNH4591M42W, 3AA28KZvwAUcZuOKwyblJQ, 4Z8W4fKeB5YxbusRsdQVPb, 00FQb4jTyendYWaN8pK0wa, 4Uc8Dsxct0oMqx0P6i60ea, 6olE6TJLqED3rqDCT0FyPh, 3l0CmX0FuQjFxr8SK7Vqag"
https://open.spotify.com/artist/64tNsm6TnZe2zpcMVMOoHL,5210066,"alternative metal, alternative rock, grunge, hard rock, nu metal, rock",64tNsm6TnZe2zpcMVMOoHL,Alice In Chains,73,spotify:artist:64tNsm6TnZe2zpcMVMOoHL,"5xUf6j4upBrXZPg6AI4MRK, 2UazAtjfzqBF0Nho2awK4z, 2ziB7fzrXBoh1HUPS6sVFn, 40Yq4vzPs9VNUrIBG5Jr2i, 2yEwvVSSSUkcLeSTNyHKh8, 2d0hyoQ5ynDBnkvAbJKORj, 1w5Kfo2jwwIPruYS2UWh56"
https://open.spotify.com/artist/2R21vXR83lH98kGeO99Y66,37146599,"reggaeton, reggaeton flow, trap boricua, trap latino, urbano latino",2R21vXR83lH98kGeO99Y66,Anuel AA,88,spotify:artist:2R21vXR83lH98kGeO99Y66,"6w9ToX5slZ4uIdmD17hJ3c, 3RtNN1VnooWEn3KQk03DUL, 12vb80Km0Ew53ABfJOepVz, 7iK8PXO48WeuP03g8YR51W, 6nVcHLIgY5pE2YCl8ubca1, 5XJDexmWFLWOkjOEjOVX3e, 4SsVbpTthjScTS7U2hmr1X, 5bWUlnPx9OYKsLiUJrhCA1, 2YRyPiW98bpkARAS4B3OQP, 47MpMsUfWtgyIIBEFOr4FE, 1i8SpTcr7yvPOmcqrbnVXY, 77ziqFxp5gaInVrF2lj4ht, 00XhexlJEXQstHimpZN910, 1pf0MPKfKdvS8J779mS1Ay, 4aSlfXDn9R60UlbZEboBUy, 4axKuDPr6WKcDCyh8vueTY, 1mcTU81TzQhprhouKaTkpq, 00me4Ke1LsvMxt5kydlMyU, 329e4yvIujISKGKz1BZZbO, 1TtXnWcUs0FCkaZDPGYHdf"
https://open.spotify.com/artist/0LcJLqbBmaGUft1e9Mm8HV,12674737,"europop, swedish pop",0LcJLqbBmaGUft1e9Mm8HV,ABBA,81,spotify:artist:0LcJLqbBmaGUft1e9Mm8HV,"54R6Y0I7jGUCveDTtI21nb, 1LZEQNv7sE11VDY3SdxQeN, 0SD4eZCN4Kr0wQk56hCdh2, 4BoRxUdrcgbbq1rxJvvhg9, 72OaDtakiy6yFqkt4TsiFt, 1zuJe6b1roixEKMOtyrEak, 3PhoLpVuITZKcymswpck5b, 43ZHCT0cAZBISjO8DG9PnE, 5lpH0xAS4fVfLkACg9DAuM, 70cRZdQywnSFp9pnc2WTCE, 6zFYqv1mOsgBRQbae3JJ9e, 7mEIug7XUlQHikrFxjTWes, 2BTZIqw0ntH9MvilQ3ewNY, 2y8Jo9CKhJvtfeKOsYzRdT, 19ra5tSw0tWufvUp8GotLo, 1eEfMU2AhEo7XnKgL7c304, 1dfeR4HaWDbWqFHLkxsg1d, 0oSGxfWSnnOXhD2fKuz2Gy, 4lxfqrEsLX6N1N4OCSkILp"
https://open.spotify.com/artist/6s22t5Y3prQHyaHWUN1R1C,3423838,pov: indie,6s22t5Y3prQHyaHWUN1R1C,AJR,73,spotify:artist:6s22t5Y3prQHyaHWUN1R1C,"20JZFwl6HVl6yg8a4H3ZqK, 2Waw2sSbqvAwK8NwACNjVo, 5IH6FPUwQTxPSXurCrcIov, 1Cd373x8qzC7SNUg5IToqp, 4AcHt3JxKy59IX7JNNlZn4, 4UXqAaa6dQYAk18Lv7PEgX, 0MlOPi3zIDMVrfA9R04Fe3, 3ApUX1o6oSz321MMECyIYd, 2cFrymmkijnjDg9SS92EPM, 06bDwgCHeMAwhgI8il4Y5k, 2q3GG88dVwuQPF4FmySr9I, 2hR4h1Cao2ueuI7Cx9c7V8, 3YQKmKGau1PzlVlkL1iodx, 0RpddSzUHfncUWNJXKOsjy"
https://open.spotify.com/artist/711MCceyCBcFnzjGY4Q7Un,29105921,"australian rock, hard rock, rock",711MCceyCBcFnzjGY4Q7Un,AC/DC,83,spotify:artist:711MCceyCBcFnzjGY4Q7Un,"07XSN3sPlIlB2L2XNcTwJw, 7Ey4PD4MYsKc5I2dolUwbH, 2cnMpRsOVqtPMfq7YiFE6K, 3qm84nBOXUEQ2vnTfUTTFC, 6ZLTlhejhndI4Rh53vYhrY, 5M52tdBnJaKSvOpJGz8mfZ, 2AM4ilv6UzW0uMRuqKtDgN, 6mdiAmATAx73kdxrNrnlao, 6H1RjVyNruCmrBEWRbD0VZ, 27T030eWyCQRmDyuvr1kxY, 0cc6vw3VN8YlIcvr1v7tBL, 568ZhdwyaiCyOGJRtNYhWf, 2ye2Wgw4gimLv2eAKyk1NB, 36QJpDe2go2KgaRleHCDTp, 1DFr97A9HnbV3SKTJFu62M, 2tRsMl4eGxwoNabM08Dm4I, 4MVyzYMgTwdP7Z49wAZHx0, 22bE4uQ6baNwSHPVcDxLCe"
